,State,Latitude,Longitude,City,total_gen_x,male_gen_x,female_gen_x
0,AL,32.601011199999995,-86.6807365,Alabama,926316,449741,476575
1,AK,61.3025006,-158.7750198,Alaska,134073,70229,63844
2,AZ,34.1682185,-111.930907,Arizona,1261564,627624,633940
3,AR,34.7519275,-92.13137840000002,Arkansas,551214,271843,279371
4,CA,37.2718745,-119.2704153,California,7672263,3824893,3847370
5,CO,38.9979339,-105.55056699999999,Colorado,1073534,545418,528116
6,CT,41.518783500000005,-72.75750699999999,Connecticut,719257,349195,370062
7,DE,39.145251,-75.41892059999999,Delaware,177954,85695,92259
8,DC,38.899348700000004,-77.0145666,District of Columbia,118310,59172,59138
9,FL,27.9757279,-83.8330166,Florida,4005068,1967775,2037293
10,GA,32.6781248,-83.22297569999999,Georgia,2088994,1012868,1076126
11,HI,20.46,-157.505,Hawaii,258933,129826,129107
12,ID,45.4945756,-114.1424303,Idaho,299734,150680,149054
13,IL,39.739318,-89.504139,Illinois,2470120,1224115,1246005
14,IN,39.7662195,-86.441277,Indiana,1249597,622053,627544
15,IA,41.9383166,-93.389798,Iowa,555120,279840,275280
16,KS,38.4987789,-98.32007790000002,Kansas,509845,255714,254131
17,KY,37.8222935,-85.76823990000001,Kentucky,856255,424712,431543
18,LA,30.9733766,-91.42990970000001,Louisiana,847503,414257,433246
19,ME,45.2185133,-69.0148656,Maine,260652,127692,132960
20,MD,38.806352399999994,-77.2684162,Maryland,1210707,583737,626970
21,MA,42.062939799999995,-71.718067,Massachusetts,1344838,653949,690889
22,MI,44.9435598,-86.41580490000001,Michigan,1886149,932257,953892
23,MN,46.4418595,-93.3655146,Minnesota,1031484,519380,512104
24,MS,32.5851062,-89.8772196,Mississippi,550066,265214,284852
25,MO,38.3046615,-92.437099,Missouri,1119320,552804,566516
26,MT,46.6797995,-110.04478300000001,Montana,179807,90465,89342
27,NE,41.5008195,-99.680902,Nebraska,334285,168868,165417
28,NV,38.502032,-117.0230604,Nevada,587159,296794,290365
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,270804,133969,136835
30,NJ,40.1430058,-74.7311156,New Jersey,1845990,903403,942587
31,NM,34.1662325,-106.02606850000001,New Mexico,361570,178063,183507
32,NY,40.7056258,-73.97968,New York,3837085,1869344,1967741
33,NC,35.2145629,-79.8912675,North Carolina,2023823,987419,1036404
34,ND,47.467881899999995,-100.3022655,North Dakota,121938,63268,58670
35,OH,40.1903624,-82.6692525,Ohio,2185583,1080388,1105195
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,696250,347540,348710
37,OR,44.1419049,-120.5380993,Oregon,775101,389984,385117
38,PA,40.99459279999999,-77.6046984,Pennsylvania,2414736,1194375,1220361
39,RI,41.5827282,-71.5064508,Rhode Island,202589,98511,104078
40,SC,33.62505,-80.9470381,South Carolina,944041,456673,487368
41,SD,44.2126995,-100.24716409999999,South Dakota,145992,74542,71450
42,TN,35.830521000000005,-85.97859890000001,Tennessee,1298648,636975,661673
43,TX,31.1693363,-100.0768425,Texas,5375350,2670492,2704858
44,UT,39.4997605,-111.547028,Utah,511260,259139,252121
45,VT,43.8717545,-72.4477828,Vermont,117335,57710,59625
46,VA,38.0033855,-79.4587861,Virginia,1673301,823263,850038
47,WA,38.899348700000004,-77.0145665,Washington,1400741,705339,695402
48,WV,38.920170500000005,-80.1816905,West Virginia,347509,174029,173480
49,WI,44.7862968,-89.82670490000001,Wisconsin,1088668,546852,541816
50,WY,43.000325,-107.5545669,Wyoming,99890,51384,48506
