,State,Latitude,Longitude,City,total_greatest_and_silent,male_greatest_and_silent,female_greatest_and_silent
0,AL,32.601011199999995,-86.6807365,Alabama,535078,225003,310075
1,AK,61.3025006,-158.7750198,Alaska,48720,23507,25213
2,AZ,34.1682185,-111.930907,Arizona,819457,375392,444065
3,AR,34.7519275,-92.13137840000002,Arkansas,337785,146392,191393
4,CA,37.2718745,-119.2704153,California,3679793,1588965,2090828
5,CO,38.9979339,-105.55056699999999,Colorado,492128,218486,273642
6,CT,41.518783500000005,-72.75750699999999,Connecticut,414160,173328,240832
7,DE,39.145251,-75.41892059999999,Delaware,115902,50902,65000
8,DC,38.899348700000004,-77.0145666,District of Columbia,55713,21974,33739
9,FL,27.9757279,-83.8330166,Florida,2958316,1319511,1638805
10,GA,32.6781248,-83.22297569999999,Georgia,912078,385932,526146
11,HI,20.46,-157.505,Hawaii,171610,74878,96732
12,ID,45.4945756,-114.1424303,Idaho,173588,80667,92921
13,IL,39.739318,-89.504139,Illinois,1304210,545179,759031
14,IN,39.7662195,-86.441277,Indiana,680832,287873,392959
15,IA,41.9383166,-93.389798,Iowa,357200,152227,204973
16,KS,38.4987789,-98.32007790000002,Kansas,302451,129952,172499
17,KY,37.8222935,-85.76823990000001,Kentucky,468280,199349,268931
18,LA,30.9733766,-91.42990970000001,Louisiana,458100,193348,264752
19,ME,45.2185133,-69.0148656,Maine,175622,77457,98165
20,MD,38.806352399999994,-77.2684162,Maryland,600141,251193,348948
21,MA,42.062939799999995,-71.718067,Massachusetts,746241,310578,435663
22,MI,44.9435598,-86.41580490000001,Michigan,1104831,475980,628851
23,MN,46.4418595,-93.3655146,Minnesota,573861,249782,324079
24,MS,32.5851062,-89.8772196,Mississippi,305727,127728,177999
25,MO,38.3046615,-92.437099,Missouri,679138,290275,388863
26,MT,46.6797995,-110.04478300000001,Montana,123900,57982,65918
27,NE,41.5008195,-99.680902,Nebraska,198293,85437,112856
28,NV,38.502032,-117.0230604,Nevada,299896,140852,159044
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,154789,68396,86393
30,NJ,40.1430058,-74.7311156,New Jersey,967831,399150,568681
31,NM,34.1662325,-106.02606850000001,New Mexico,232570,104320,128250
32,NY,40.7056258,-73.97968,New York,2146202,883547,1262655
33,NC,35.2145629,-79.8912675,North Carolina,1078099,457097,621002
34,ND,47.467881899999995,-100.3022655,North Dakota,77194,33360,43834
35,OH,40.1903624,-82.6692525,Ohio,1296362,546005,750357
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,406156,175875,230281
37,OR,44.1419049,-120.5380993,Oregon,461512,206485,255027
38,PA,40.99459279999999,-77.6046984,Pennsylvania,1552497,649367,903130
39,RI,41.5827282,-71.5064508,Rhode Island,121006,49844,71162
40,SC,33.62505,-80.9470381,South Carolina,565983,246438,319545
41,SD,44.2126995,-100.24716409999999,South Dakota,93347,41074,52273
42,TN,35.830521000000005,-85.97859890000001,Tennessee,712414,305095,407319
43,TX,31.1693363,-100.0768425,Texas,2276286,985417,1290869
44,UT,39.4997605,-111.547028,Utah,220028,100118,119910
45,VT,43.8717545,-72.4477828,Vermont,76367,33849,42518
46,VA,38.0033855,-79.4587861,Virginia,842663,361879,480784
47,WA,38.899348700000004,-77.0145665,Washington,723590,322061,401529
48,WV,38.920170500000005,-80.1816905,West Virginia,231854,101696,130158
49,WI,44.7862968,-89.82670490000001,Wisconsin,633540,276332,357208
50,WY,43.000325,-107.5545669,Wyoming,58957,27282,31675
